E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 11:38:14, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  23/03/2011 13:25:50, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:41, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
E2 :  30/03/2011 20:07:55, unknown         , localhost                     , Could not select log databaseUnknown database 'log_db' 
